company_name,industry
Accutax Financial Planning,Accounting & Advisory
Accuworx Inc.,Environmental Services
Ace Beverage Group,Food and Beverage Manufacturing
Alkon Ltd,Construction
All Canada Crane Rental Corp.,Construction
ACE Limited,Insurance
ALL Family of Companies,Construction
Acelity,Medical Equipment Manufacturing
Acerus Pharma,Medical Equipment Manufacturing
Aceti Falcone LLP,Accounting
ACH SOFTWARE,Accounting
AchÃ„â€œv,Machinery Manufacturing
Achieva Health Inc.,"Health, Wellness and Fitness"
Achievers,Software Development
ACIRIS,Accounting
Aciris accounting & tax,Accounting & Advisory
Acklands-Grainger,Wholesale
All Professional Trades Inc,Construction
ACO SYSTEMS,Accounting & Advisory
Acorn Biolabs,Wellness and Fitness Services
"Acorn Stairlifts, Inc.",Medical Equipment Manufacturing
Acquisory India Consulting Private Limited,Accounting & Advisory
ACR Fuller Group,Mining
"ACS Infrastructure Development, Inc. and ACS Infrastructure Canada Inc.",Civil Engineering
ACS Muskoka,Manufacturing
Act Finance Inc,Financial Services
ACT Finance Inc.,Financial Services
Activa Clinics (Wellness),Health
Active Bookkeeping Inc.,Accounting & Advisory
Active Care Management,Hospitality
ACTIVE Network,Software Development
Activo Inc.,IT Services and IT Consulting
ACTO,Business Consulting and Services
ACTUAL TIME LOGISTICS,"Transportation, Logistics and Storage"
Acuity Knowledge Partners,Financial Services
AcuityAds Inc.,"Transportation, Logistics and Storage"
Acura Downtown,Automotive
Acura of North Toronto,Automotive
Acura Pickering,Automotive
Acuris Global,Wellness and Fitness Services
ACV Auctions,Software Development
Ada,Software Development
"Ada manufacturing Corporation, Philippine",Manufacturing
Adam Ball DC,"Health, Wellness and Fitness"
Adams & Miles LLP,Accounting & Advisory
Adams and Miles LLP,Accounting & Advisory
Adams Limitless,E-Learning Providers
Adams Street Partners,Venture Capital and Private Equity
Adamson Associates Architects,Architecture and Planning
Adaptavist,Non-profit Organizations
Adastra,IT Services and IT Consulting
Adastra North America,IT Services and IT Consulting
All Routes Logistics,Construction
Addenda Capital Inc,Investment Management
Addison Group,Staffing and Recruiting
Adecco,Staffing and Recruiting
Adecco Canada,Staffing and Recruiting
Aluminum Glazier,Construction
Adelaide Health Clinic,Accounting & Advisory
ADESA,Motor Vehicle Manufacturing
Amherst Crane and Concrete Pumping LTD,Construction
Ankor Engineering Systems Ltd.,Construction
Ashby Contracting Ltd. - Tile and hardwood floor company,Construction
adidas,Retail
adidas Group,Retail
Adidas Retail,Retail
Adient Ltd,Automotive
Aditya Birla Sun Life Insurance,Automotive
Adler Wood India Private Limited,Retail
Adlib,Software Development
ADM Business Consulting,Utilities
AdMill Group,Marketing and Advertising
Admission HubÃ¢â€žÂ¢,Marketing and Advertising
ADP,Human Resources Services
ADP Canada,Human Resources Services
Adparlor,Accounting & Advisory
Adreno Technologies,IT Services and IT Consulting
"Adrian Hernandez & Associates, PC",Accounting & Advisory
Adroit Accountax Ltd,Accounting & Advisory
ADT,Security and Investigations
ADT by TELUS,Security and Investigations
ADT Security Services Canada,Security and Investigations
"ADT Security Services Canada, Inc.",Security and Investigations
Adtalem Global Education,E-Learning Providers
Advance Rentals,Machinery Manufacturing
Advanced Accounting & Tax Solutions Inc.,Machinery Manufacturing
Advanced Motion & Controls Ltd.,Automation Machinery Manufacturing
Advanced Presentation Products,IT Services and IT Consulting
Ashland Paving Ltd,Construction
Astaldi,Construction
Advantage 360,Telecommunications
Advantage Group International,Telecommunications
"Advantage Solutions: Sales, Marketing, Technology",Manufacturing
Advantageous Accounting,Accounting & Advisory
AdventHealth,Hospitals and Health Care
advertience,Accounting & Advisory
Advocis,Financial Services
æ‹›å•†é“¶è¡Œ,Accounting
æ·è±¹è·¯è™Žä¸­å›½ Jaguar Land Rover China,Motor Vehicle Manufacturing
Atlas Design & Build,Construction
Atlas-Apex Roofing Inc.,Construction
AV Classic Tile Contractors Ltd,Construction
AVG Group,Construction
AEGEAN MARINE PETROLEUM LLC,Accounting & Advisory
Aereus Technologies Inc.,Biotechnology Research
Aerodrome International security Inc.,Security and Investigations
AEROLINKS TRAVEL LIMITED,Accounting
Aeronutrix Sports Products Private Limited,Accounting & Advisory
Aerospace Shenzhou Smart System Technology Ltd.,Manufacturing
Aeryon Labs Inc,Aviation and Aerospace Component Manufacturing
Ãƒâ€°lections Canada | Elections Canada,Government Administration
Ãƒâ€°quit Association,Farming
AFEX,Financial Services
Affiliate Nation,Marketing and Advertising
Affinity Corporate Group,IT Services and IT Consulting
Affinity Global,Internet Publishing
Affinity Insurance Solutions Inc.,Insurance
Affinity_Global,Outsourcing and Offshoring Consulting
Affinityesolutions,IT Services and IT Consulting
Affirm,Financial Services
Afiniti.com,IT Services and IT Consulting
AfrAsia Bank Limited,Financial Services
Afro Capital Inc,Investment Management
Afro-Heritage Association,Non-profit Organizations
Afropolitan Canada,Civic and Social Organizations
AFV Hospitality Private Limited,Food and Beverage Services
AG Globe Services,Staffing and Recruiting
AG MELCO Elevator Co. L.L.C.,Human Resources
AGC Glass Company North America,Wholesale Building Materials
Ageisher Trading PLC,Logistics and Supply Chain
B.E. Construction Ltd,Construction
Agence Bulles,E-Learning
Balfour Beatty WorkSmart,Construction
Agentis Capital,Financial Services
AGF Investments,Investment Management
AGF Investments Inc.,Investment Management
AGF Investments Inc. (AGFiQ),Investment Management
Ball and Young Ltd,Construction
Agfa,Retail Office Equipment
Aggreko,Utilities
AGI - Ag Growth International,Motor Vehicle Manufacturing
"AgileBits, Inc.",Software Development
AgileCPA Professional Corporation,Accounting & Advisory
Agility,"Transportation, Logistics and Storage"
Agilus Work Solutions,Staffing and Recruiting
Agilus Work Solutions (formerly Talentcor / DGSI),Staffing and Recruiting
Agincourt Community Services Association,Civic and Social Organizations
Agincourt Hyundai,Automotive
Agincourt Nissan Limited,Automotive
Agnes Huyen Do Chartered Professional Accountant,Accounting & Advisory
Agnico Eagle Mines Limited,Mining
Agricorp,Insurance
Agriculture Development Fund (ADF),Investment Management
Agrifood Central,Food and Beverage Manufacturing
AgriWebb,Banking
AGS Automotive Systems,Motor Vehicle Manufacturing
AGSI,Business Consulting and Services
AGT Partners LLP,Financial Services
Agt Products Inc,"Appliances, Electrical, and Electronics Manufacturing"
Agtonomy,Machinery
Agusto&Co.,Financial Services
AH CPA Professional Corporation LPA,Accounting & Advisory
aha insurance,Insurance
AHGCPA,Insurance
AHLOT,Manufacturing
Ball Construction,Construction
AI Incorp,Information Technology and Services
AIC Global Holdings Inc,Investment Management
AIESEC Canada,Non-profit Organizations
AIG,Insurance
AIM,IT Services and IT Consulting
Ainey Haulage ltd.,Logistics and Supply Chain
Ainsworth Inc,Facilities Services
Ainsworth Inc.,Facilities Services
Air Canada,Airlines and Aviation
Air Charter Service,Hospitals and Health Care
Air Liquide,Chemical Manufacturing
Air Quality Dunrite,Chemical Manufacturing
Air West Charters,Airlines and Aviation
Airbnb,Hospitality
AirBoss of America,Chemical Manufacturing
Airbus Helicopters,Chemical Manufacturing
Aircel,Telecommunications
airCFO,Financial Services
Aircraft Appliances and Equipment Ltd.,Airlines and Aviation
Aircraft Appliances and Equipment Ltd.Â ,Airlines and Aviation
Aircraft Technical Publishers (ATP),IT Services and IT Consulting
Aird & Berlis LLP,Accounting & Advisory
Aire One Heating and Cooling,Mechanical or Industrial Engineering
Airex,Industrial Machinery Manufacturing
Airikka Passmore & Associates Ltd.,Accounting & Advisory
AIT Financial Management,Accounting & Advisory
AJ Mohan & Company,Accounting & Advisory
Ajax Nissan,Automotive
AJC Accounting,Accounting & Advisory
AJISEN RAMEN (NORTH AMERICA) INC.,Accounting & Advisory
Akal Accounting Services,Accounting & Advisory
Akal Accounting Services Inc.,Accounting & Advisory
AKAL Mortgages Inc.,Financial Services
Bamboo Housing,Construction
Akhavan,Food and Beverage Manufacturing
Akhtar & Hasan (Pvt) Ltd.,Legal Services
Akler Browning LLP,Accounting & Advisory
AKNA Solutions Inc.,Staffing and Recruiting
Akshar Accounting & Bookkeeping Services,Accounting & Advisory
Aksharam Financial Services,Accounting & Advisory
AL DAHAB EXCHANGE,Staffing and Recruiting
Al Ghurair Foods LLC,Food and Beverage Services
Al Habtoor Motors,Motor Vehicle Manufacturing
Al Premium Food Mart,Motor Vehicle Manufacturing
Alamos Gold Inc.,Mining
"Alan A.M. Weisbrod CPA, CA & Business Advisor",Accounting & Advisory
Alariss Global,Business Consulting and Services
Alarm Guard Security Services Inc.,Business Consulting and Services
Alate Partners,Wellness and Fitness Services
AlayaCare,Software Development
Albarrie Canada Limited,Textile Manufacturing
Basecrete Technologies,Construction
Alberta Health Services,Hospitals and Health Care
Alberta Investment Management Corporation (AIMCo),Hospitals and Health Care
Albourne,Financial Services
Albourne Partners,Financial Services
Alcohol Countermeasure Systems Corp,Financial Services
Alcon,Medical Equipment Manufacturing
Alcon Canada,Medical Equipment Manufacturing
"Alcon, a Novartis company",Medical Equipment Manufacturing
"Alcon, A Novartis Division",Medical Equipment Manufacturing
Alcor MatÃ©riaux De Toiture Inc.,Wholesale
Alcumus,IT Services and IT Consulting
ALDAR Education,E-Learning Providers
Aldridge Borden & Co,Accounting
Aleafia Health,Medical Practices
Alecent SÃ RL,Financial Services
Alectra,Utilities
Alectra Energy Solutions,Utilities
Alectra Inc.,Utilities
Alectra Utilities Corporation,Utilities
alertdrivingÃ‚Â®,Software Development
alertdrivingÂ®,Software Development
Alexa Translations,Translation and Localization
Alexander Dombrovsky,Accounting
Alexander Mann Solutions,Human Resources Services
ALEXIS LOPEZ,Marketing
Alfred International Inc.,Marketing
Al-Futtaim,Motor Vehicle Manufacturing
Al-Futtaim Group Automotive,Retail
Baxter Kitchens,Construction
Baycrest Project & Construction Management,Construction
Algoma Central Corporation,Manufacturing
Algoma Steel Inc.,Manufacturing
Algonquin Power & Utilities Corp.,Utilities
ALI BIN ALI,Accounting & Advisory
Alida,Software Development
Alight Solutions,IT Services and IT Consulting
Align  Massage Therapy and Advanced Bodyworks,"Health, Wellness and Fitness"
Align Technology,Medical Equipment Manufacturing
Aligned Capital Partners Inc.,Financial Services
ALIGNED Insurance Inc.,Insurance
Alignvest Investment Management Corporation and Alignvest Capital Management Inc.,Venture Capital and Private Equity
Alignvest Management Corporation,Venture Capital and Private Equity
Alio Health Services,"Health, Wellness and Fitness"
AlixPartners,Business Consulting and Services
Alkali Partners,Investment Banking
BDA Inc.,Construction
Beech Nursery Group Inc.,Construction
All Colour Paint Ltd.,Accounting & Advisory
Bellissimo Contracting,Construction
Berger Painting,Construction
Berger Paints Barbados Ltd.,Construction
All Seasons Weddings,Entertainment
All Seniors Care Living Centres,Hospitality
Allegis Group,Staffing and Recruiting
Allevar Inc.,Staffing and Recruiting
Alliance Corporation,Telecommunications
Alliance for South Asian AIDS Prevention (ASAAP),"Health, Wellness and Fitness"
Alliance FranÃƒÂ§aise de Detroit,Banking
BetterBuilt Builders Inc,Construction
Alliance of clinical evaluators,"Health, Wellness and Fitness"
Allianz Global Corporate & Specialty (AGCS),Insurance
Allianz Partners,Insurance
Allianz Worldwide Partners,Insurance
Allied Bank Limited,Financial Services
Betz Cut Stone Ltd,Construction
Allied Technical Sales (ATS) Inc.,IT Services and IT Consulting
Allied Technical Solutions,IT Services and IT Consulting
Allina Health,"Health, Wellness and Fitness"
"Allison & Gibb, LLP",Accounting & Advisory
Allmar Inc.,Security
"ALLMAX Nutrition, Inc.","Health, Wellness and Fitness"
AllStaff Inc.,Staffing and Recruiting
Allstate,Insurance
Allstate Canada,Insurance
Allstate Insurance Company of Canada,Insurance
Allstream,Telecommunications
Allwood Industries Ltd,Telecommunications
Allworth & Associates,Accounting & Advisory
Allworth & Associates Chartered Accountant,Accounting & Advisory
Allworth & Associates Chartered Accountants,Accounting & Advisory
Ally,Financial Services
Ally Global,Financial Services
Almanage Business Solution Inc.,Information Technology and Services
Almaty Ã„Â°nvestment Corporation/Istanbul,Financial Services
Alo Restaurant,Restaurants
Alpaca,Financial Services
Alpesh Joshi CA Professional Corporation,Accounting & Advisory
Alpha Auto Group,Automotive
Alpha College of Business and Technology,Education Administration Programs
Alpha Oasis Inc.,Accounting & Advisory
AlphaBet Accounting,Accounting & Advisory
Alphabow Energy Ltd.,Oil & Energy
"ALPS, Inc.",Pharmaceutical Manufacturing
ALS Society of Canada,Non-profit Organizations
Al-Sayer Group Holding,Retail
Alstom,Truck Transportation
Alta Nissan Richmond Hill - Zanchin Auto Group,Automotive
AltaBlue Ltd.,IT Services and IT Consulting
Altas Partners,Venture Capital and Private Equity
Altec,Industrial Machinery Manufacturing
Altec Industries Limited,Mechanical or Industrial Engineering
Alterna Savings,Mechanical or Industrial Engineering
"Alternative & Plan ""B""",Wholesale
"Alternative & Plan ""B"" Eyewear",Wholesale
Altima Dental Canada,Hospitals and Health Care
Altima Dental Canada,Business Consulting and Services
altis Human Resources (Altis HR),Staffing and Recruiting
Altis Recruitment,Staffing and Recruiting
Altishr(Weston Foods),Food and Beverage Manufacturing
Altman & Sugar,Accounting & Advisory
"Altman & Sugar, Chartered Accountants",Accounting & Advisory
"Altman and Sugar,Chartered Professional Accountants",Accounting & Advisory
Alto Pharmacy,Retail
Bird Construction,Construction
Altum Health - University Health Network,"Health, Wellness and Fitness"
Altus Dynamics,Information Technology and Services
Black & McDonald Limited,Construction
Black and McDonald,Construction
Aluminum Mold and Pattern,Motor Vehicle Manufacturing
Alvarez & Marsal,Business Consulting and Services
Always Dependable Service,Machinery
Alyousuf Motors,Automotive
Alzheimer Society,Non-profit Organizations
Alzheimer Society of Dufferin County,Non-profit Organizations
Alzheimer Society of Ontario,Non-profit Organizations
Alzheimer's Society,Non-profit Organizations
AM Branding Co,Accounting & Advisory
Am Wholesale Meats Ltd,Food and Beverage Manufacturing
Amaia Land Corp.,Non-profit Organizations
Amanah Tech Inc.,Non-profit Organizations
Amanda Hann Consulting,Public Relations and Communications Services
AMARANTH INVESTMENTS LIMITED,Financial Services
Amati  Plumbing Supply Ltd.,Building Materials
Amazon,Consumer Goods
Amazon Web Services (AWS),Consumer Goods
AMBUR Solutions,Information Technology and Services
Amdev Asset Management Inc.,Investment Management
AME Learning,E-Learning Providers
Amec Foster Wheeler Nuclear Canada,Utilities
Amercican Express,Financial Services
American Campus Communities,Non-profit Organizations
AMERICAN EAGLE OUTFITTERS INC.,Retail
American Express,Financial Services
American Express Global Business Travel,Financial Services
"American Honda Motor Company, Inc.",Motor Vehicle Manufacturing
American Iron & Metal (AIM),Manufacturing
Ameri-can systems,Truck Transportation
American Water,Utilities
Americas Silver Corporation,Mining
Ameri-Connect Freight Services Inc,Truck Transportation
"Ameriflight, LLC",Airlines and Aviation
"Ameriprise Financial Services, Inc.",Financial Services
"Ameriprise Financial Services, LLC.",Financial Services
AmerisourceBergen,Hospitals and Health Care
"AmeriVet Partners Management, Inc.",Veterinary Services
Ameryoun Design Group,Architecture & Planning
AMG | Advance Marble & Granite,Architecture & Planning
Amgen,Biotechnology Research
Amgine,Biotechnology Research
Blooming Minds Nursery,Construction
AMI ORGANICS LIMITED,Mining
Amica Senior Lifestyles,Hospitality
AMICO Corporation,Manufacturing
"AMICO Corporation, Richmond Hill, ON",Manufacturing
Amico Group of Companies,Medical Equipment Manufacturing
Amico patient care,Hospitality
Amico Patient Care,Manufacturing
Amir Quality Meats Inc.,Food and Beverage Manufacturing
Amitabh Bhatnagar CPA,Accounting & Advisory
AML Oceanographic,"Appliances, Electrical, and Electronics Manufacturing"
AMLB CPAs and Consulting,Accounting & Advisory
AMMEGA,Automation Machinery Manufacturing
AMO: Association of the Municipalities of Ontario,Government Administration
AMOREPACIFIC,Government Administration
Amp Energy,Renewable Energy Semiconductor Manufacturing
Amphenol,Renewable Energy Semiconductor Manufacturing
Amphenol Canada Corp.,Renewable Energy Semiconductor Manufacturing
Amphenol CTI,Renewable Energy Semiconductor Manufacturing
Amphenol CTI Industrial,Renewable Energy Semiconductor Manufacturing
"Amphenol InterCon Systems, Inc.",Renewable Energy Semiconductor Manufacturing
Ample Insight,Manufacturing
Amplifon,Wellness and Fitness Services
AMR LLP,Legal Services
Amrop,Business Consulting and Services
ams OSRAM,Semiconductor Manufacturing
Amsterdam Brewing Co.,Food and Beverage Manufacturing
AMT Surgical & Vantage Endoscopy,Medical Devices
Amvic Building System,Medical Devices
Amway,Manufacturing
AMX Accounting,Accounting & Advisory
AMX Accounting and Taxation Professional Corporation,Accounting & Advisory
Amy Leung Health & Fitness,Wellness and Fitness Services
AN & Associates,Wholesale Import and Export
An Inspired Life by Priyanka,E-Learning
Anaconda Mining Inc. (TSX:ANX; OTCQX: ANXGF),Mining
Anaergia Inc.,Environmental Services
Analytix Solutions,Outsourcing and Offshoring Consulting
Analyze and Improve,Mining
BNE Concrete Floors & Coatings Inc.,Construction
Anatolia Capital Corp.,Investment Management
Anatolia Tile & Stone Inc,Wholesale Building Materials
ANB CANADA,Manufacturing
Ancaster Mill,Manufacturing
Ancaster Soccer Club,Manufacturing
Anchor Kitchen Cabinet Inc,Consumer Goods
Andean Precious Metals Corp.,Mining
Anderson Sinclair PC,Mining
Anderson Strategy Group,Information Technology and Services
andie,Information Technology and Services
ANDRE MARQUES ACCOUNTANT LIMITD,Accounting & Advisory
"Andreas Deeder, CPA CGA",Accounting & Advisory
Andrejs Management Inc.,Accounting & Advisory
Andrew Brother's Trailer Services,Logistics and Supply Chain
Andrew Mingay Professional Corporation,Accounting & Advisory
Andrew Peller Limited,Beverage Manufacturing
Andrews & Co. Chartered Professional Accountants Professional Corporation,Accounting & Advisory
Android Industries,Motor Vehicle Manufacturing
Andy Yu Professional Corporation,Accounting & Advisory
Aneal Thansingh's Accounting,Accounting & Advisory
Angel Broking Ltd,Automotive
Angel Cosmoceuticals,Pharmaceutical Manufacturing
"Angela Madonna, RMT","Health, Wellness and Fitness"
Bondfield Construction Company Limited,Construction
Angus Glen Golf Club,Hospitality
Anheuser-Busch InBev,Software Development
Anickdotes,Marketing and Advertising
Anil K Sharma CGA,Accounting & Advisory
ANIRBAN MUKHERJEE PROFESSIONAL CORP - CPA firm,Accounting & Advisory
Anirban Mukherjee Professional Corp.,Accounting & Advisory
Anirban Mukherjee Professional Corporation,Accounting & Advisory
Anirban Professional Corporation,Accounting & Advisory
Anita's Consulting,Accounting & Advisory
ANJNA & CO.,Accounting & Advisory
Bonita Flooring,Construction
Anmar Mechanical & Electrical Contractors Ltd,Industrial Machinery Manufacturing
Ann Arbour Immigration Consultants Inc.,Financial Services
Annalakshmi,Financial Services
Anne Johnston Health Station,"Health, Wellness and Fitness"
Annex Finance,Financial Services
Anomaly,Financial Services
Anova Fertility & Reproductive Health,Medical Practices
"ANPHAT DITECH., JSC",Accounting & Advisory
Bot Construction Group,Construction
Ansid Fractional CFOs,Accounting
Anson Funds,Accounting
Answer Plus Inc.,Telecommunications
Antek Logistics,Logistics and Supply Chain
Anthem Entertainment Group,Entertainment Providers
Bothwell Accurate Co. Inc.,Construction
Anthem Sports & Entertainment Inc.,Entertainment
"Anthem, Inc.",Entertainment
Antiseptic Pro,Manufacturing
Anup jaiswal CPA corporation,Accounting & Advisory
Any,Accounting
ANY ORGANIZATION IN TORONTO AREA,Accounting
Aon,Insurance
Aon Hewitt,Insurance
Bramalea Elevator Ltd.,Construction
AP,Accounting
Bridgit,Construction
apetito Canada,Food and Beverage Manufacturing
Apex Accounting & Tax Consulting Inc.,Accounting & Advisory
Apex Accounting Ser.LLC,Accounting & Advisory
Apex Capital Advisors Inc.,Investment Banking
APEX Conference,Marketing
Apex Fund Services (North America),Financial Services
Apex Fund Services Inc.,Financial Services
Apex Group Ltd,Financial Services
Apex Group Ltd (North America Branch),Financial Services
Apex Mobile Media,Fundraising
Apex Motor Express/Western Canada Express,Truck Transportation
